,date,actions
0,2020-03-02,[100]
1,2020-03-03,[100]
2,2020-03-04,[100]
3,2020-03-05,[100]
4,2020-03-06,[100]
5,2020-03-09,[18]
6,2020-03-10,[-100]
7,2020-03-11,[100]
8,2020-03-12,[4]
9,2020-03-13,[-100]
10,2020-03-16,[100]
11,2020-03-17,[5]
12,2020-03-18,[-100]
13,2020-03-19,[97]
14,2020-03-20,[-100]
15,2020-03-23,[97]
16,2020-03-24,[-100]
17,2020-03-25,[100]
18,2020-03-26,[2]
19,2020-03-27,[-13]
20,2020-03-30,[13]
21,2020-03-31,[-100]
22,2020-04-01,[100]
23,2020-04-02,[2]
24,2020-04-03,[-100]
25,2020-04-06,[95]
26,2020-04-07,[-75]
27,2020-04-08,[74]
28,2020-04-09,[-100]
29,2020-04-13,[94]
30,2020-04-14,[-100]
31,2020-04-15,[98]
32,2020-04-16,[0]
33,2020-04-17,[0]
34,2020-04-20,[0]
35,2020-04-21,[0]
36,2020-04-22,[0]
37,2020-04-23,[0]
38,2020-04-24,[0]
39,2020-04-27,[0]
40,2020-04-28,[0]
41,2020-04-29,[0]
42,2020-04-30,[0]
43,2020-05-01,[0]
44,2020-05-04,[0]
45,2020-05-05,[0]
46,2020-05-06,[0]
47,2020-05-07,[0]
48,2020-05-08,[0]
49,2020-05-11,[0]
50,2020-05-12,[0]
51,2020-05-13,[0]
52,2020-05-14,[0]
53,2020-05-15,[0]
54,2020-05-18,[0]
55,2020-05-19,[0]
56,2020-05-20,[0]
57,2020-05-21,[0]
58,2020-05-22,[0]
59,2020-05-26,[0]
60,2020-05-27,[0]
61,2020-05-28,[0]
62,2020-05-29,[0]
63,2020-06-01,[0]
64,2020-06-02,[0]
65,2020-06-03,[0]
66,2020-06-04,[0]
67,2020-06-05,[0]
68,2020-06-08,[0]
69,2020-06-09,[0]
70,2020-06-10,[-5]
71,2020-06-11,[5]
72,2020-06-12,[0]
73,2020-06-15,[0]
74,2020-06-16,[0]
75,2020-06-17,[0]
76,2020-06-18,[0]
77,2020-06-19,[0]
78,2020-06-22,[0]
79,2020-06-23,[0]
80,2020-06-24,[0]
81,2020-06-25,[0]
82,2020-06-26,[0]
83,2020-06-29,[0]
84,2020-06-30,[0]
85,2020-07-01,[0]
86,2020-07-02,[0]
87,2020-07-06,[0]
88,2020-07-07,[0]
89,2020-07-08,[0]
90,2020-07-09,[-16]
91,2020-07-10,[16]
92,2020-07-13,[-56]
93,2020-07-14,[56]
94,2020-07-15,[0]
95,2020-07-16,[0]
96,2020-07-17,[0]
97,2020-07-20,[0]
98,2020-07-21,[0]
99,2020-07-22,[0]
100,2020-07-23,[0]
101,2020-07-24,[0]
102,2020-07-27,[0]
103,2020-07-28,[0]
104,2020-07-29,[0]
105,2020-07-30,[0]
106,2020-07-31,[0]
107,2020-08-03,[0]
108,2020-08-04,[0]
109,2020-08-05,[0]
110,2020-08-06,[0]
111,2020-08-07,[0]
112,2020-08-10,[0]
113,2020-08-11,[0]
114,2020-08-12,[0]
115,2020-08-13,[0]
116,2020-08-14,[0]
117,2020-08-17,[0]
118,2020-08-18,[0]
119,2020-08-19,[0]
120,2020-08-20,[0]
121,2020-08-21,[0]
122,2020-08-24,[0]
123,2020-08-25,[0]
124,2020-08-26,[0]
125,2020-08-27,[0]
126,2020-08-28,[0]
127,2020-08-31,[0]
128,2020-09-01,[-18]
129,2020-09-02,[18]
130,2020-09-03,[-64]
131,2020-09-04,[65]
132,2020-09-08,[1]
133,2020-09-09,[-100]
134,2020-09-10,[100]
135,2020-09-11,[2]
136,2020-09-14,[-18]
137,2020-09-15,[18]
138,2020-09-16,[-83]
139,2020-09-17,[85]
140,2020-09-18,[-100]
141,2020-09-21,[99]
142,2020-09-22,[-18]
143,2020-09-23,[19]
144,2020-09-24,[-67]
145,2020-09-25,[65]
146,2020-09-28,[-49]
147,2020-09-29,[50]
148,2020-09-30,[-100]
149,2020-10-01,[97]
150,2020-10-02,[-57]
151,2020-10-05,[56]
152,2020-10-06,[-100]
153,2020-10-07,[97]
154,2020-10-08,[-100]
155,2020-10-09,[96]
156,2020-10-12,[0]
157,2020-10-13,[0]
158,2020-10-14,[0]
159,2020-10-15,[0]
160,2020-10-16,[0]
161,2020-10-19,[0]
162,2020-10-20,[0]
163,2020-10-21,[0]
164,2020-10-22,[-12]
165,2020-10-23,[12]
166,2020-10-26,[-18]
167,2020-10-27,[18]
168,2020-10-28,[-100]
169,2020-10-29,[98]
170,2020-10-30,[-57]
171,2020-11-02,[58]
172,2020-11-03,[-100]
173,2020-11-04,[94]
174,2020-11-05,[-100]
175,2020-11-06,[100]
176,2020-11-09,[-100]
177,2020-11-10,[100]
178,2020-11-11,[3]
179,2020-11-12,[-98]
180,2020-11-13,[97]
181,2020-11-16,[-64]
182,2020-11-17,[64]
183,2020-11-18,[-98]
184,2020-11-19,[97]
185,2020-11-20,[-18]
186,2020-11-23,[18]
187,2020-11-24,[-18]
188,2020-11-25,[18]
189,2020-11-27,[-93]
190,2020-11-30,[94]
191,2020-12-01,[-100]
192,2020-12-02,[100]
193,2020-12-03,[-98]
194,2020-12-04,[98]
