,date,account_value
0,2020-03-02,1000000.0
1,2020-03-03,995308.605
2,2020-03-04,1008485.706
3,2020-03-05,992748.123
4,2020-03-06,983379.72
5,2020-03-09,932949.611
6,2020-03-10,980163.9800200001
7,2020-03-11,950313.5180200001
8,2020-03-12,875409.9320200001
9,2020-03-13,931982.80558
10,2020-03-16,891355.6055800001
11,2020-03-17,953142.8705800001
12,2020-03-18,964812.15138
13,2020-03-19,986376.26138
14,2020-03-20,967937.65117
15,2020-03-23,991810.80217
16,2020-03-24,1011043.8976600001
17,2020-03-25,988006.4276600002
18,2020-03-26,1024105.4936600002
19,2020-03-27,995132.6126800001
20,2020-03-30,1027671.4113800002
21,2020-03-31,1020203.5900300002
22,2020-04-01,1002234.1580300002
23,2020-04-02,1007864.3780300001
24,2020-04-03,1001434.5403700002
25,2020-04-06,1039918.8813700002
26,2020-04-07,1047014.3103200002
27,2020-04-08,1060836.4403200003
28,2020-04-09,1060560.6983200002
29,2020-04-13,1113196.5123200002
30,2020-04-14,1171705.4885400003
31,2020-04-15,1181537.8365400003
32,2020-04-16,1232672.2939000004
33,2020-04-17,1215712.2039000003
34,2020-04-20,1225221.9139000003
35,2020-04-21,1191756.5239000001
36,2020-04-22,1209830.5939000002
37,2020-04-23,1228206.1539000003
38,2020-04-24,1233709.6239000002
39,2020-04-27,1216223.2039000003
40,2020-04-28,1184582.0839000002
41,2020-04-29,1214542.0139000004
42,2020-04-30,1266301.2039000003
43,2020-05-01,1170253.6439000003
44,2020-05-04,1185558.0939000002
45,2020-05-05,1186483.0039000004
46,2020-05-06,1203581.0639000004
47,2020-05-07,1211935.9139000003
48,2020-05-08,1218067.9139000003
49,2020-05-11,1233086.2039000003
50,2020-05-12,1206488.6539000003
51,2020-05-13,1212094.3239000004
52,2020-05-14,1222789.5539000002
53,2020-05-15,1233484.7839000004
54,2020-05-18,1241906.0639000004
55,2020-05-19,1253694.8339000002
56,2020-05-20,1278534.5439000004
57,2020-05-21,1252371.3439000002
58,2020-05-22,1247332.8839000005
59,2020-05-26,1239657.6639000003
60,2020-05-27,1233796.4939000004
61,2020-05-28,1229049.3039000002
62,2020-05-29,1250138.2739000001
63,2020-06-01,1264788.6439000003
64,2020-06-02,1265488.7139000003
65,2020-06-03,1268549.6039000005
66,2020-06-04,1259453.8039000002
67,2020-06-05,1270900.2039000003
68,2020-06-08,1291881.8639000002
69,2020-06-09,1331126.6639000003
70,2020-06-10,1354934.1539000003
71,2020-06-11,1309638.9766500003
72,2020-06-12,1303013.8468500003
73,2020-06-15,1317148.1068500003
74,2020-06-16,1338911.5968500003
75,2020-06-17,1352049.4068500004
76,2020-06-18,1358692.4068500004
77,2020-06-19,1369438.7368500005
78,2020-06-22,1389270.6468500004
79,2020-06-23,1415122.1368500004
80,2020-06-24,1399787.0268500005
81,2020-06-25,1410099.0068500002
82,2020-06-26,1378565.1968500002
83,2020-06-29,1372182.8068500005
84,2020-06-30,1412265.6468500004
85,2020-07-01,1473524.3268500003
86,2020-07-02,1479451.9268500004
87,2020-07-06,1564656.0668500003
88,2020-07-07,1535569.9468500002
89,2020-07-08,1576955.8368500003
90,2020-07-09,1628832.5568500005
91,2020-07-10,1637379.7847700003
92,2020-07-13,1588272.5847700003
93,2020-07-14,1578998.7607700003
94,2020-07-15,1540434.6267700002
95,2020-07-16,1535850.9567700005
96,2020-07-17,1516468.7267700003
97,2020-07-20,1636487.2967700004
98,2020-07-21,1606568.2467700003
99,2020-07-22,1586956.0667700004
100,2020-07-23,1529029.1067700004
101,2020-07-24,1540455.0667700004
102,2020-07-27,1564114.3667700004
103,2020-07-28,1536070.6867700003
104,2020-07-29,1553035.8867700004
105,2020-07-30,1562412.7367700005
106,2020-07-31,1620053.5367700004
107,2020-08-03,1593077.8467700004
108,2020-08-04,1606844.1867700003
109,2020-08-05,1640672.3867700004
110,2020-08-06,1650877.0567700004
111,2020-08-07,1621474.1167700004
112,2020-08-10,1611611.8167700004
113,2020-08-11,1577124.4267700005
114,2020-08-12,1618806.6967700003
115,2020-08-13,1618183.2767700003
